RigidityGV Flux
2.0317480159 60.31
2.2715633383 56.57
2.5314027732 51.74
2.8160078125 46.94
3.1259078681 41.76
3.4605779864 36.5
3.8252843032 31.45
4.2200236966 26.71
4.6495591189 22.5
5.1191405529 18.76
5.6287654064 15.55
6.1784302213 12.82
6.7729092715 10.54
7.4174389111 8.646
8.1120157791 7.081
8.8614220078 5.786
9.6708841375 4.74
10.5403984744 3.866
11.4891252931 3.138
12.4899959968 2.566
13.5388330369 2.1
14.6877499979 1.711
15.9367499824 1.395
17.2858323491 1.134
18.7349939952 0.9241
20.284230328 0.7485
21.9335359666 0.61
23.7309923939 0.4963
25.6805373776 0.4045
27.7301280199 0.3295
29.927913392 0.2686
32.2777012812 0.2194
34.7757099137 0.1797
37.4738575543 0.1469
40.3721438618 0.1198
43.4705647536 0.09824
46.7691137397 0.08071
50.316001431 0.06566
54.1148778064 0.05415
58.1621010625 0.04446
62.5095192751 0.03642
67.2053569293 0.02984
72.2532352217 0.02456
77.6495331602 0.02015
83.4460903818 0.01654
89.6911366859 0.01357
96.4365076099 0.01113
103.9230484541 0.009068
111.9285486371 0.007328
120.4159457879 0.005977
129.9038105677 0.004905
140.8722825825 0.003898
153.3623161014 0.003104
167.3320053068 0.002433
183.3030277982 0.001888
201.2759300065 0.001481
221.7273100004 0.001121
245.6562639136 0.0008621
274.5341508811 0.0006312
309.8870762068 0.0004614
353.6523716872 0.0003199
408.8263690126 0.0002158
481.1704479704 0.0001397
581.0120480679 0.00008738
727.0116917904 0.00004682
963.7738323902 0.00002288
1426.1837188806 0.00000798
2323.7900077245 0.000002147
