EkeV Fluxele Fluxpos
570000 14.7 1.31
730000 24.3 2.32
910000 20.8 1.91
1110000 18.3 1.55
1330000 16.4 1.34
1580000 13.7 1.06
1850000 11.1 0.801
2150000 8.94 0.619
2470000 7.1 0.459
2820000 5.49 0.343
3170000 4.61 0.278
3540000 3.62 0.212
3920000 2.87 0.164
4320000 2.27 0.128
4760000 1.8 0.0986
5240000 1.42 0.0776
5740000 1.11 0.0594
6260000 0.88 0.0469
6810000 0.695 0.0374
7390000 0.551 0.0294
7990000 0.436 0.0234
8620000 0.35 0.0191
9280000 0.278 0.015
9960000 0.224 0.0125
10700000 0.179 0.0101
11400000 0.147 0.0083
12200000 0.119 0.00681
13000000 0.0973 0.00576
13800000 0.0797 0.0046
14700000 0.0656 0.00384
15600000 0.0539 0.00333
16500000 0.0448 0.00281
17500000 0.0371 0.00237
18500000 0.031 0.00201
19500000 0.0259 0.00174
20600000 0.0217 0.00144
21700000 0.0182 0.00122
22800000 0.0156 0.00105
24000000 0.0131 0.000933
25200000 0.0111 0.000788
26600000 0.00942 0.000663
28000000 0.00794 0.000594
29400000 0.00674 0.00052
31000000 0.00562 0.000433
32700000 0.00473 0.000376
34400000 0.00392 0.00032
36300000 0.00337 0.000269
38300000 0.00283 0.000243
40500000 0.00234 0.000211
42800000 0.00201 0.00017
45300000 0.00163 0.000156
47900000 0.00138 0.000122
50800000 0.00114 0.000108
53900000 0.000935 0.0000937
57300000 0.000761 0.0000755
61000000 0.000632 0.0000653
65100000 0.000505 0.0000541
69600000 0.000392 0.0000478
74600000 0.000326 0.0000389
80300000 0.000254 0.0000288
86700000 0.000203 0.0000276
94000000 0.000156 0.0000208
103000000 0.000123 0.0000153
113000000 0.0000902 0.0000115
125000000 0.0000659 0.00000856
140000000 0.0000432 0.00000621
159000000 0.0000302 0.00000523
183000000 0.0000193 0.00000319
216000000 0.0000111 0.00000208
262000000 0.00000664 0.00000121
327000000 0.00000315 0.000000617
429000000 0.00000121 0.000000247
589000000 0.000000453 0

