RigidityGV Flux
1.1 626.9
1.2 662.5
1.4 643.2
1.6 605.9
1.8 554.4
2.0 499.3
2.3 442
2.5 387.8
2.8 335.9
3.1 288.2
3.5 245.3
3.8 206.8
4.2 173.1
4.6 143.8
5.1 118.4
5.6 96.91
6.2 79.03
6.8 64.2
7.4 51.97
8.1 42
8.9 33.86
9.7 27.24
10.5 21.9
11.5 17.58
12.5 14.17
13.5 11.48
14.7 9.266
15.9 7.46
17.3 5.995
18.7 4.832
20.3 3.894
21.9 3.151
23.7 2.538
25.7 2.04
27.7 1.65
29.9 1.335
32.3 1.082
34.8 0.8791
37.5 0.7132
40.4 0.5793
43.5 0.4716
46.8 0.3839
50.3 0.3128
54.1 0.2549
58.2 0.208
62.5 0.1701
67.2 0.1393
72.3 0.1132
77.6 0.09263
83.4 0.0753
89.7 0.06146
96.4 0.05026
103.9 0.04085
111.9 0.03294
120.4 0.02698
129.9 0.02174
140.9 0.01727
153.4 0.01358
167.3 0.01065
183.3 0.008212
201.3 0.006299
221.7 0.004793
245.7 0.003605
274.5 0.002647
309.9 0.001884
353.7 0.001288
408.8 0.0008695
481.2 0.0005545
581.0 0.0003357
727.0 0.000186
963.8 0.00008571
1426.2 0.00002933

