# Energy/keV FluxGCAv FluxGCMax FluxDiskAv FluxDiskMax / #/cm^2/s/sr/keV
Energy FluxGCAv FluxGCMax FluxDiskAv FluxDiskMax
58473.1330871582 9.815647899813484e-09 2.4610402761027216e-08 3.998475676780799e-09 1.741142477840185e-08
79970.3598022461 7.776878192089498e-09 1.9992392481071873e-08 3.186432650181814e-09 1.4373228623298927e-08
109370.89538574219 5.855798463016981e-09 1.548460204503499e-08 2.4223072614404373e-09 1.1226417882426176e-08
149580.322265625 4.296468432585243e-09 1.1630449989752379e-08 1.7853390090749599e-09 8.414447620452847e-09
204572.4639892578 2.927226432802854e-09 8.061606422415934e-09 1.218588067786186e-09 5.751372555096168e-09
279782.0739746094 1.8232328784506534e-09 5.084064923721599e-09 7.608088594679429e-10 3.5128009585605468e-09
382641.9677734375 1.088191083908896e-09 3.0654207421321188e-09 4.552278198843851e-10 2.017312681346084e-09
523317.56591796875 6.22477386968967e-10 1.7686847968434449e-09 2.603728432859498e-10 1.1439598210927216e-09
715711.5478515625 3.4208028409921096e-10 9.769034932105568e-10 1.430491209930551e-10 6.308637239271775e-10
978837.8295898438 1.7881225744531548e-10 5.122279844727017e-10 7.434874760292587e-11 3.295052692919853e-10
1338700.5615234375 8.758657799035063e-11 2.5103207690335696e-10 3.606251297583185e-11 1.606571231604903e-10
1830864.2578125 4.336565240237178e-11 1.238690430227507e-10 1.7611395008998444e-11 7.896303344523403e-11
2503968.505859375 2.0839872050260056e-11 5.915966383440718e-11 8.299442910697508e-12 3.7345657233345265e-11
3424534.66796875 9.75938263536591e-12 2.756552675009516e-11 3.800597170311448e-12 1.7235587179698085e-11
4683540.52734375 4.447851420508187e-12 1.25460175581793e-11 1.7019509135351995e-12 7.838208304633554e-12
6405410.64453125 1.999076015835044e-12 5.623100651774848e-12 7.492092501948378e-13 3.4913043567286195e-12
8760314.453125 8.99165963907933e-13 2.525449183110595e-12 3.297787598555146e-13 1.5530442487587947e-12
11980981.4453125 4.0092204556252396e-13 1.1264154053947095e-12 1.4354002708660828e-13 6.862834189824696e-13
16385703.125 1.7859350109894479e-13 5.043404027738063e-13 6.262333013262733e-14 3.036502160824739e-13
22409791.015625 8.056177946969e-14 2.279287175666056e-13 2.74520042115034e-14 1.3503310969387172e-13
30648591.796875 3.669273912487725e-14 1.0389041016356515e-13 1.2110717810542848e-14 6.015175163520681e-14
41916328.125 1.670723455415857e-14 4.7293433058648306e-14 5.343936231028135e-15 2.6707249259350086e-14
57326566.40625 8.048939119376097e-15 2.303160440142449e-14 2.51134790046903e-15 1.276275266026694e-14
78402273.4375 3.992736263142005e-15 1.158200271800247e-14 1.211539982920451e-15 6.28617167000578e-15
107226312.5 2.0183188887551438e-15 5.928460847237638e-15 5.934898839737857e-16 3.135303865489658e-15
146647296.875 1.0144709508205786e-15 3.038518872275353e-15 2.8993300815738364e-16 1.6090711662392065e-15
200561125.0 5.158637731393634e-16 1.5901896769851542e-15 1.437857808078008e-16 8.631634361259966e-16
274296000.0 2.6335736976607073e-16 8.3725534101228295e-16 7.154463788983448e-17 4.675605063710064e-16
375138968.75 1.3680727286701637e-16 4.48535902430186e-16 3.612432889713718e-17 2.5788648560370887e-16
513056156.25 7.347206474944343e-17 2.528910240939819e-16 1.8908067453871252e-17 1.4860985705911211e-16
