Ener(MeV),Flux(n/cm2MeVs)
9.38704E-9,843.56165
9.575893E-9,874.5035
9.847588E-9,903.00446
1.0127394E-8,925.02
1.041453E-8,958.9877
1.0753583E-8,982.3876
1.1147731E-8,1018.50195
1.1603332E-8,1047.5684
1.21259545E-8,1081.7952
1.2570403E-8,1121.564
1.2875461E-8,1153.4805
1.3347381E-8,1195.8846
1.3891775E-8,1249.8099
1.4634359E-8,1295.8575
1.5231546E-8,1348.8959
1.5917587E-8,1392.9677
1.6566482E-8,1461.6024
1.7311962E-8,1521.4545
1.8311551E-8,1564.9979
1.9135557E-8,1629.084
2.0157646E-8,1702.6442
2.1405294E-8,1786.7137
2.2639432E-8,1867.4283
2.3565159E-8,1913.0702
2.4527276E-8,1983.4375
2.5942446E-8,2056.5554
2.7438723E-8,2140.8972
2.8560127E-8,2201.995
3.0085012E-8,2310.6294
3.1186467E-8,2414.7734
3.2723698E-8,2473.8909
3.4059738E-8,2564.8862
3.602706E-8,2627.7822
3.7799886E-8,2735.443
3.966231E-8,2813.6194
4.1782457E-8,2917.2837
4.455789E-8,2918.2053
4.6007592E-8,3001.3677
4.9059782E-8,3050.6372
5.210253E-8,3125.5066
5.5785055E-8,3151.6157
5.972548E-8,3203.4148
6.5510356E-8,3204.8699
7.185697E-8,3193.5525
7.977464E-8,3182.4636
8.4737515E-8,3145.5127
9.1104724E-8,3084.4526
9.79562E-8,2988.5747
1.08766955E-7,2884.5974
1.1600572E-7,2817.2227
1.2422706E-7,2740.515
1.3091443E-7,2644.489
1.3796182E-7,2551.828
1.4774798E-7,2452.7979
1.5696766E-7,2338.772
1.6742432E-7,2256.9568
1.764441E-7,2160.5571
1.8593875E-7,2093.1914
1.9675696E-7,1979.9738
2.0902237E-7,1910.6722
2.2120122E-7,1778.6992
2.3880395E-7,1709.7399
2.5370565E-7,1630.2574
2.6737905E-7,1554.4086
2.8292433E-7,1482.1179
2.9339927E-7,1430.0726
3.0672396E-7,1374.4122
3.2588983E-7,1289.7603
3.7682463E-7,1163.4445
4.218984E-7,1066.2227
4.7429447E-7,965.5129
5.44087E-7,853.70905
6.2921237E-7,748.8792
7.0450346E-7,680.8429
8.5162594E-7,587.9075
1.0170519E-6,515.7977
1.2546028E-6,431.43567
2.0446603E-6,286.6811
3.1615177E-6,203.81714
4.5276506E-6,153.78804
6.9168823E-6,109.32979
1.0739243E-5,76.194046
1.7717182E-5,49.041237
3.311643E-5,29.986902
6.4726875E-5,16.798027
2.2984904E-4,6.05942

